title,pdf_url,arxiv_url,code_available,code_url
"OTIAS: OcTree Implicit Adaptive Sampling for Multispectral and Hyperspectral Image Fusion",,,no,
"Boundary-Aware Temporal Dynamic Pseudo-Supervision Pairs Generation for Zero-Shot Natural Language Video Localization",,,no,
"Occlusion-Insensitive Talking Head Video Generation via Facelet Compensation",,,no,
"SSLFusion: Scale and Space Aligned Latent Fusion Model for Multimodal 3D Object Detection",,,no,
"Dis²Booth: Learning Image Distribution with Disentangled Features for Text-to-Image Diffusion Models",,,no,
"Muses: 3D-Controllable Image Generation via Multi-Modal Agent Collaboration",,,no,
"AS-Det: Active Sampling for Adaptive 3D Object Detection in Point Clouds",,,no,
"GarFast: Realistic and Fast Garment Transfer with a Simplified Parser-Free Approach",,,no,
"Latent Diffusion-Enhanced Virtual Try-On via Optimized Pseudo-Label Generation",,,no,
"HybridReg: Robust 3D Point Cloud Registration with Hybrid Motions",,,no,
"Out of Length Text Recognition with Sub-String Matching",,,no,
"InstructOCR: Instruction Boosting Scene Text Spotting",,,no,
"A Diffusion-Based Framework for Occluded Object Movement",,,no,
"DiffRetouch: Using Diffusion to Retouch on the Shoulder of Experts",,,no,
"IniRetinex: Rethinking Retinex-type Low-Light Image Enhancer via Initialization Perspective",,,no,
"Vision-guided Text Mining for Unsupervised Cross-modal Hashing with Community Similarity Quantization",,,no,
"Depth-Centric Dehazing and Depth-Estimation from Real-World Hazy Driving Video",,,no,
"EventPillars: Pillar-based Efficient Representations for Event Data",,,no,
"Combating Semantic Contamination in Learning with Label Noise",,,no,
"EMHI: A Multimodal Egocentric Human Motion Dataset with HMD and Body-Worn IMUs",,,maybe,
"CoSDA: Enhancing the Robustness of Inversion-based Generative Image Watermarking Framework",,,no,
"SSUN-Net: Spatial-Spectral Prior-Aware Unfolding Network for Pan-Sharpening",,,no,
"Guided Real Image Dehazing Using YCbCr Color Space",,,no,
"Multi-Pair Temporal Sentence Grounding via Multi-Thread Knowledge Transfer Network",,,no,
"AE-NeRF: Augmenting Event-Based Neural Radiance Fields for Non-ideal Conditions and Larger Scenes",,,no,
"PROSAC: Provably Safe Certification for Machine Learning Models under Adversarial Attacks",,,no,
"VQA4CIR: Boosting Composed Image Retrieval with Visual Question Answering",,,no,
"PoseLLaVA: Pose Centric Multimodal LLM for Fine-Grained 3D Pose Manipulation",,,no,
"Residual Diffusion Deblurring Model for Single Image Defocus Deblurring",,,no,
"DiT4Edit: Diffusion Transformer for Image Editing",,,no,
"Semantic Ambiguity Modeling and Propagation for Fine-Grained Visual Cross View Geo-Localization",,,no,
"Weakly Supervised Gland Segmentation with Class Semantic Consistency and Purified Labels Filtration",,,no,
"HDLayout: Hierarchical and Directional Layout Planning for Arbitrary Shaped Visual Text Generation",,,no,
"ViPOcc: Leveraging Visual Priors from Vision Foundation Models for Single-View 3D Occupancy Prediction",,,no,
"Simplifying Control Mechanism in Text-to-Image Diffusion Models",,,no,
"BGHR: Bridging the Gap Between HBox-Supervised and RBox-Supervised Oriented Object Detection via Adaptive Fine-Grained Sample Mining",,,no,
"Foundation Model Driven Appearance Extraction for Robust Multiple Object Tracking",,,no,
"Exploring Unbiased Deepfake Detection via Token-Level Shuffling and Mixing",,,no,
"MFL-Owner: Ownership Protection for Multi-modal Federated Learning via Orthogonal Transform Watermark",,,no,
"DFDNet: Disentangling and Filtering Dynamics for Enhanced Video Prediction",,,no,
"PNVC: Towards Practical INR-based Video Compression",,,maybe,
"AIM: Let Any Multimodal Large Language Models Embrace Efficient In-Context Learning",,,no,
"TC-LLaVA: Rethinking the Transfer of LLava from Image to Video Understanding with Temporal Considerations",,,no,
"Learning 2D Invariant Affordance Knowledge for 3D Affordance Grounding",,,no,
"EventMamba: Enhancing Spatio-Temporal Locality with State Space Models for Event-Based Video Reconstruction",,,no,
"Implicit Location-Caption Alignment via Complementary Masking for Weakly-Supervised Dense Video Captioning",,,no,
"ParseCaps: An Interpretable Parsing Capsule Network for Medical Image Diagnosis",,,no,
"Auto-Regressive Diffusion for Generating 3D Human-Object Interactions",,,no,
"Domain Generalized Medical Landmark Detection via Robust Boundary-Aware Pre-Training",,,no,
"Rethinking Masked Data Reconstruction Pretraining for Strong 3D Action Representation Learning",,,no,
"Queryable Prototype Multiple Instance Learning with Vision-Language Models for Incremental Whole Slide Image Classification",,,no,
"Efficient Connectivity-Preserving Instance Segmentation with Supervoxel-Based Loss Function",,,no,
"MaintaAvatar: A Maintainable Avatar Based on Neural Radiance Fields by Continual Learning",,,no,
"HGSFusion: Radar-Camera Fusion with Hybrid Generation and Synchronization for 3D Object Detection",,,no,
"OT-StainNet: Optimal Transport Driven Semantic Matching for Weakly Paired H&E-to-IHC Stain Transfer",,,no,
"DepthFM: Fast Generative Monocular Depth Estimation with Flow Matching",,,no,
"You Should Learn to Stop Denoising on Point Clouds in Advance",,,no,
"Surgical Workflow Recognition and Blocking Effectiveness Detection in Laparoscopic Liver Resection with Pringle Maneuver",,,no,
"Cross-Spectral Gaussian Splatting with Spatial Occupancy Consistency",,,no,
"Enhancing Low-Rank Adaptation with Recoverability-Based Reinforcement Pruning for Object Counting",,,no,
"Towards a Comprehensive; Efficient and Promptable Anatomic Structure Segmentation Model Using 3D Whole-Body CT Scans",,,no,
"MetaNeRV: Meta Neural Representations for Videos with Spatial-Temporal Guidance",,,no,
"PromptDet: A Lightweight 3D Object Detection Framework with LiDAR Prompts",,,maybe,
"OpenVIS: Open-vocabulary Video Instance Segmentation",,,no,
"Controllable 3D Dance Generation Using Diffusion-Based Transformer U-Net",,,no,
"SpikeGS: Reconstruct 3D Scene Captured by a Fast-Moving Bio-Inspired Camera",,,no,
"VTG-LLM: Integrating Timestamp Knowledge into Video LLMs for Enhanced Video Temporal Grounding",,,no,
"LLaVA Needs More Knowledge: Retrieval Augmented Natural Language Generation with Knowledge Graph for Explaining Thoracic Pathologies",,,no,
"DuMo: Dual Encoder Modulation Network for Precise Concept Erasure",,,maybe,
"GGS: Generalizable Gaussian Splatting for Lane Switching in Autonomous Driving",,,no,
"ProPose: Probabilistic 3D Human Pose Estimation with Instance-Level Distribution and Normalizing Flow",,,no,
"DME-Driver: Integrating Human Decision Logic and 3D Scene Perception in Autonomous Driving",,,no,
"Boosting Segment Anything Model Towards Open-Vocabulary Learning",,,no,
"CoDTS: Enhancing Sparsely Supervised Collaborative Perception with a Dual Teacher-Student Framework",,,no,
"AsyncDSB: Schedule-Asynchronous Diffusion Schrödinger Bridge for Image Inpainting",,,no,
"ID-Sculpt: ID-aware 3D Head Generation from Single In-the-wild Portrait Image",,,no,
"Multi-Frame Deformable Look-Up Table for Compressed Video Quality Enhancement",,,no,
"V2C-CBM: Building Concept Bottlenecks with Vision-to-Concept Tokenizer",,,no,
"PointRWKV: Efficient RWKV-Like Model for Hierarchical Point Cloud Learning",,,no,
"Efficient Online Training for Zero-Shot Time-Lapse Microscopy Denoising and Super-Resolution",,,no,
"DiffCalib: Reformulating Monocular Camera Calibration as Diffusion-Based Dense Incident Map Generation",,,no,
"MagicMan: Generative Novel View Synthesis of Humans with 3D-Aware Diffusion and Iterative Refinement",,,no,
"Long-Tailed Out-of-Distribution Detection: Prioritizing Attention to Tail",,,no,
"Achieving Speed-Accuracy Balance in Vision-based 3D Occupancy Prediction via Geometric-Semantic Disentanglement",,,no,
"Disentangle Nighttime Lens Flares: Self-supervised Generation-based Lens Flare Removal",,,no,
"Generating Traffic Scenarios via In-Context Learning to Learn Better Motion Planner",,,no,
"MRBTP: Efficient Multi-Robot Behavior Tree Planning and Collaboration",,,no,
"Int2Planner: An Intention-based Multi-modal Motion Planner for Integrated Prediction and Planning",,,no,
"Optimal Control Operator Perspective and a Neural Adaptive Spectral Method",,,no,
"Efficient Language-instructed Skill Acquisition via Reward-Policy Co-Evolution",,,no,
"GNN-Transformer Task Planning Enhanced with Semantic-Driven Data Augmentation",,,no,
"Multi-fingered Hand Grasps with Visuo-Tactile Fusion via Multi-Agent Deep Reinforcement Learning",,,no,
"State-Based Disassembly Planning",,,no,
"FloNa: Floor Plan Guided Embodied Visual Navigation",,,no,
"Safe Planner: Empowering Safety Awareness in Large Pre-Trained Models for Robot Task Planning",,,no,
"ConDo: Continual Domain Expansion for Absolute Pose Regression",,,no,
"When Should We Prefer State-to-Visual DAgger over Visual Reinforcement Learning?",,,no,
"Heterogeneous Multi-Robot Graph Coverage with Proximity and Movement Constraints",,,no,
"Evolutionary Reinforcement Learning with Parameterized Action Primitives for Diverse Manipulation Tasks",,,no,
"Enhancing Multi-Robot Semantic Navigation Through Multimodal Chain-of-Thought Score Collaboration",,,no,
"Towards Audio-Visual Navigation in Noisy Environments: A Large-Scale Benchmark Dataset and an Architecture Considering Multiple Sound-Sources",,,no,
"Discovering Conceptual Knowledge with Analytic Ontology Templates for Articulated Objects",,,no,
"Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation",,,no,
"BEVSync: Asynchronous Data Alignment for Camera-based Vehicle-Infrastructure Cooperative Perception Under Uncertain Delays",,,no,
"NaviFormer: A Spatio-Temporal Context-Aware Transformer for Object Navigation",,,maybe,
"Neural Assembler: Learning to Generate Fine-Grained Robotic Assembly Instructions from Multi-View Images",,,no,
"Online Guidance Graph Optimization for Lifelong Multi-Agent Path Finding",,,no,
"GMAP: Generalized Manipulation of Articulated Objects in Robotic Using Pre-trained Model",,,no,
"MapExpert: Online HD Map Construction with Simple and Efficient Sparse Map Element Expert",,,no,
"FlowPolicy: Enabling Fast and Robust 3D Flow-Based Policy via Consistency Flow Matching for Robot Manipulation",,,no,
"Loosely Synchronized Rule-Based Planning for Multi-Agent Path Finding with Asynchronous Actions",,,no,
"ASP-Driven Emergency Planning for Norm Violations in Reinforcement Learning",,,no,
"Minimal Change in Modal Logic S5",,,no,
"Fast Computing of Dung Semantics in Acyclic Probabilistic Argumentation Frameworks",,,no,
"DPCL-Diff：Temporal Knowledge Graph Reasoning Based on Graph Node Diffusion Model with Dual-Domain Periodic Contrastive Learning",,,no,
"CognTKE: A Cognitive Temporal Knowledge Extrapolation Framework",,,no,
"Answering Conjunctive Queries with Safe Negation and Inequalities over RDFS Knowledge Bases",,,no,
"A Practical Approach to Causal Inference over Time",,,no,
"Germane Conflicts: Desirable Properties for Localising Inconsistency",,,no,
"A Computationally Grounded Framework for Cognitive Attitudes",,,no,
"Sound Over-Approximation of Equational Reasoning with Variable-Preserving Rules Parameterized by Derivation Depth",,,no,
"Replacing Paths with Connection-Biased Attention for Knowledge Graph Completion",,,no,
"Recursive Aggregates as Intensional Functions in Answer Set Programming: Semantics and Strong Equivalence",,,no,
"Solving Epistemic Logic Programs Using Generate-and-Test with Propagation",,,no,
"On the Logic of Theory Base Change: Reformulation of Belief Bases",,,no,
"Argumentative Large Language Models for Explainable and Contestable Claim Verification",,,no,
"First-Order Automata",,,no,
"Temporal Causal Reasoning with (Non-Recursive) Structural Equation Models",,,no,
"LTLf Synthesis Under Unreliable Input",,,no,
"An Algebraic Notion of Conditional Independence; and Its Application to Knowledge Representation",,,no,
"LTLf Synthesis on First-Order Agent Programs in Nondeterministic Environments",,,no,
"New Compilation Languages Based on Restricted Weak Decomposability",,,no,
"Hybrid Reasoning About Relative Position and Orientation of Objects and Navigating Agents Using Answer Set Programming",,,no,
"APKGC: Noise-enhanced Multi-Modal Knowledge Graph Completion with Attention Penalty",,,no,
"A Modal Logic for Joint Abilities of Structured Strategies with Bounded Complexity",,,no,
"Reasoning About Actual Causes in Nondeterministic Domains",,,no,
"An Alternative Theory of Stable Revision for Nondeterministic Approximation Fixpoint Theory and the Relationships",,,no,
"On Action Theories with Iterable First-Order Progression",,,no,
"Scalable Knowledge Refactoring Using Constrained Optimisation",,,no,
"Dung’s Argumentation Framework: Unveiling the Expressive Power with Inconsistent Databases",,,no,
"Spectra of Cardinality Queries over Description Logic Knowledge Bases",,,no,
"Temporal Specification Optimisation for the Event Calculus",,,no,
"Consistent Query Answering over Existential Rules with Open and Closed Predicates",,,no,
"Probabilistic Strategy Logic with Degrees of Observability",,,no,
"An And-Sum Circuit with Signed Edges That Is More Succinct than SDD",,,no,
"Tensor Decomposition Meets Knowledge Compilation: A Study Comparing Tensor Trains with OBDDs",,,no,
"A Logical Analysis of Hanabi",,,no,
"Checking Consistency of CP-Theory Preferences in Polynomial Time",,,no,
"Shield Synthesis for LTL Modulo Theories",,,no,
"A Variable Occurrence-Centric Framework for Inconsistency Handling",,,no,
"Learning Theorem Rationale for Improving the Mathematical Reasoning Capability of Large Language Models",,,no,
"Joint Knowledge Editing for Information Enrichment and Probability Promotion",,,no,
"MTVHunter: Smart Contracts Vulnerability Detection Based on Multi-Teacher Knowledge Translation",,,maybe,
"Column-Oriented Datalog on the GPU",,,no,
"SR-FoT: A Syllogistic-Reasoning Framework of Thought for Large Language Models Tackling Knowledge-based Reasoning Tasks",,,no,
"Traffic Scenario Logic: A Spatial-Temporal Logic for Modeling and Reasoning of Urban Traffic Scenarios",,,maybe,
"Goal-Driven Reasoning in DatalogMTL with Magic Sets",,,no,
"Eliciting Causal Abilities in Large Language Models for Reasoning Tasks",,,no,
"Temporal Conjunctive Query Answering via Rewriting",,,no,
"SPAC: Sparse Partitioning and Adaptive Core Tensor Pruning Model for Knowledge Graph Completion",,,no,
"Knowledge Graph Completion with Relation-Aware Anchor Enhancement",,,no,
"What Is a Good Question? Assessing Question Quality via Meta-Fact Checking",,,no,
"A Theory of Formalisms for Representing Knowledge",,,no,
"Counterfactual Debiasing for Physical Audiovisual Commonsense Reasoning",,,no,
"Real-Time Calibration Model for Low-Cost Sensor in Fine-Grained Time Series",,,no,
"BayesCNS: A Unified Bayesian Approach to Address Cold Start and Non-Stationarity in Search Systems at Scale",,,no,
"Scalable Surrogate Verification of Image-Based Neural Network Control Systems Using Composition and Unrolling",,,no,
"External Reliable Information-enhanced Multimodal Contrastive Learning for Fake News Detection",,,no,
"Holistic Semantic Representation for Navigational Trajectory Generation",,,maybe,
"SQLFixAgent: Towards Semantic-Accurate Text-to-SQL Parsing via Consistency-Enhanced Multi-Agent Collaboration",,,no,
"mmFAS: Multimodal Face Anti-Spoofing Using Multi-Level Alignment and Switch-Attention Fusion",,,no,
"CLEP: A Novel Contrastive Learning Method for Evolutionary Reentrancy Vulnerability Detection",,,no,
"GLCF: A Global-Local Multimodal Coherence Analysis Framework for Talking Face Generation Detection",,,no,
"ReactGPT: Understanding of Chemical Reactions via In-Context Tuning",,,no,
"4D Diffusion for Dynamic Protein Structure Prediction with Reference and Motion Guidance",,,no,
"G2LDetect: A Global-to-Local Approach for Hallucination Detection",,,no,
"3D Denoisers Are Good 2D Teachers: Molecular Pretraining via Denoising and Cross-Modal Distillation",,,no,
"CryoDomain: Sequence-free Protein Domain Identification from Low-resolution Cryo-EM Density Maps",,,no,
"Less Is More: Adaptive Program Repair with Bug Localization and Preference Learning",,,no,
"Improving Cancer Gene Prediction by Enhancing Common Information Between the PPI Network and Gene Functional Association",,,no,
"AutoSciLab: A Self-Driving Laboratory for Interpretable Scientific Discovery",,,no,
"RingFormer: A Ring-Enhanced Graph Transformer for Organic Solar Cell Property Prediction",,,no,
"Knowledge Is Power: Harnessing Large Language Models for Enhanced Cognitive Diagnosis",,,no,
"FactorGCL: A Hypergraph-Based Factor Model with Temporal Residual Contrastive Learning for Stock Returns Prediction",,,no,
"How to Re-enable PDE Loss for Physical Systems Modeling Under Partial Observation",,,no,
"APIRL: Deep Reinforcement Learning for REST API Fuzzing",,,no,
"A Theoretical Framework for an Efficient Normalizing Flow-Based Solution to the Electronic Schrödinger Equation",,,no,
"EWMoE: An Effective Model for Global Weather Forecasting with Mixture-of-Experts",,,no,
"FoldToken: Learning Protein Language via Vector Quantization and Beyond",,,no,
"Each Fake News Is Fake in Its Own Way: An Attribution Multi-Granularity Benchmark for Multimodal Fake News Detection",,,no,
"HeMeNet: Heterogeneous Multichannel Equivariant Network for Protein Multi-task Learning",,,no,
"CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction",,,no,
"GARLIC: GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching",,,no,
"Open-world Radio Frequency Fingerprint Identification via Augmented Semi-supervised Learning",,,no,
"Limitations in Employing Natural Language Supervision for Sensor-Based Human Activity Recognition - And Ways to Overcome Them",,,no,
"Hypergraph Attacks via Injecting Homogeneous Nodes into Elite Hyperedges",,,no,
"HHAN: Comprehensive Infectious Disease Source Tracing via Heterogeneous Hypergraph Neural Network",,,no,
"ViFactCheck: A New Benchmark Dataset and Methods for Multi-Domain News Fact-Checking In Vietnamese",,,maybe,
"MOL-Mamba: Enhancing Molecular Representation with Structural & Electronic Insights",,,no,
"PRAGA: Prototype-aware Graph Adaptive Aggregation for Spatial Multi-modal Omics Analysis",,,no,
"Social Recommendation via Graph-Level Counterfactual Augmentation",,,no,
"DF-MIA: A Distribution-Free Membership Inference Attack on Fine-Tuned Large Language Models",,,no,
"Bi-level Contrastive Learning for Knowledge-Enhanced Molecule Representations",,,no,
"Learning Generalized Residual Exchange-Correlation-Uncertain Functional for Density Functional Theory",,,no,
"IWRN:A Robust Blind Watermarking Method for Artwork Image Copyright Protection Against Noise Attack",,,no,
"AnalogCoder: Analog Circuit Design via Training-Free Code Generation",,,maybe,
"Political Actor Agent: Simulating Legislative System for Roll Call Votes Prediction with Large Language Models",,,no,
"Simulate and Eliminate: Revoke Backdoors for Generative Large Language Models",,,no,
"Vox-UDA: Voxel-wise Unsupervised Domain Adaptation for Cryo-Electron Subtomogram Segmentation with Denoised Pseudo-Labeling",,,no,
"ChemVLM: Exploring the Power of Multimodal Large Language Models in Chemistry Area",,,maybe,
"Critical Forgetting-Based Multi-Scale Disentanglement for Deepfake Detection",,,no,
"Learning Complex Heterogeneous Multimodal Fake News via Social Latent Network Inference",,,no,
"AI-Powered Algorithm-Centric Quantum Processor Topology Design",,,no,
"Enhancing the Adversarial Robustness via Manifold Projection",,,no,
"Whole Genome Transformer for Gene Interaction Effects in Microbiome Habitat Specificity",,,no,
"SCALM: Detecting Bad Practices in Smart Contracts Through LLMs",,,no,
"An Evaluation Framework for Product Images Background Inpainting Based on Human Feedback and Product Consistency",,,maybe,
"A Thorough Comparison Between Independent Cascade and Susceptible-Infected-Recovered Models",,,no,
"IDseq: Decoupled and Sequentially Detecting and Grounding Multi-Modal Media Manipulation",,,maybe,
"Controllable Protein Sequence Generation with LLM Preference Optimization",,,no,
"Recoverable Facial Identity Protection via Adaptive Makeup Transfer Adversarial Attacks",,,maybe,
"Knowledge-Guided Domain Adaptation Model for Transferring Drug Response Prediction from Cell Lines to Patients",,,no,
"TrojanDec: Data-free Detection of Trojan Inputs in Self-supervised Learning",,,maybe,
"BiDeV: Bilateral Defusing Verification for Complex Claim Fact-Checking",,,no,
"WiFi CSI Based Temporal Activity Detection via Dual Pyramid Network",,,maybe,
"DAMMFND: Domain-Aware Multimodal Multi-view Fake News Detection",,,no,
"Graph-Based Cross-Domain Knowledge Distillation for Cross-Dataset Text-to-Image Person Retrieval",,,no,
"GenAL: Generative Agent for Adaptive Learning",,,no,
"M²N: A Progressive Macro-to-Micro 3D Modeling Scheme for Unveiling Drug-Target Affinity",,,no,
"Number Theoretic Accelerated Learning of Physics-Informed Neural Networks",,,no,
"Defense Against Model Stealing Based on Account-Aware Distribution Discrepancy",,,no,
"Multi-modal Deepfake Detection via Multi-task Audio-Visual Prompt Learning",,,no,
"GoBERT: Gene Ontology Graph Informed BERT for Universal Gene Function Prediction",,,no,
"SLRL: Semi-Supervised Local Community Detection Based on Reinforcement Learning",,,no,
"Robust Heterogeneous Graph Classification for Molecular Property Prediction with Information Bottleneck",,,no,
"Counterexample Guided Program Repair Using Zero-Shot Learning and MaxSAT-based Fault Localization",,,no,
"MalCL: Leveraging GAN-Based Generative Replay to Combat Catastrophic Forgetting in Malware Classification",,,no,
"Exploring Query Efficient Data Generation Towards Data-Free Model Stealing in Hard Label Setting",,,no,
"A Simple and Comprehensive Benchmark for Single-Cell Transcriptomics",,,no,
"Dual-Channel Interactive Graph Transformer for Traffic Classification with Message-Aware Flow Representation",,,no,
"Revisiting Tampered Scene Text Detection in the Era of Generative AI",,,no,
"Towards Better Robustness Against Natural Corruptions in Document Tampering Localization",,,no,
"StressPrompt: Does Stress Impact Large Language Models and Human Performance Similarly?",,,no,
"SUMI-IFL: An Information-Theoretic Framework for Image Forgery Localization with Sufficiency and Minimality Constraints",,,no,
"SpeHeaTal: A Cluster-Enhanced Segmentation Method for Sperm Morphology Analysis",,,no,
"Autonomous Goal Detection and Cessation in Reinforcement Learning: A Case Study on Source Term Estimation",,,no,
"HDT: Hierarchical Discrete Transformer for Multivariate Time Series Forecasting",,,maybe,
"Enhancing Generalizability in Molecular Conformation Generation with METRIZATION-Informed Geometric Diffusion Pretraining",,,no,
"Predicting User Behavior in Smart Spaces with LLM-Enhanced Logs and Personalized Prompts",,,no,
"END^2: Robust Dual-Decoder Watermarking Framework Against Non-Differentiable Distortions",,,maybe,
"dyAb: Flow Matching for Flexible Antibody Design with AlphaFold-driven Pre-binding Antigen",,,no,
"Embedding Robust Watermarking into Pattern to Protect the Copyright of Ceramic Artifacts",,,no,
"ODDN: Addressing Unpaired Data Challenges in Open-World Deepfake Detection on Online Social Networks",,,no,
"NEST: A Neuromodulated Small-world Hypergraph Trajectory Prediction Model for Autonomous Driving",,,no,
"PScalpel: A Machine Learning-based Guider for Protein Phase-Separating Behaviour Alteration",,,no,
"Hybrid-Driving: An Autonomous Driving Decision Framework Integrating Large Language Models; Knowledge Graphs and Driving Rules",,,no,
"GTG: Generalizable Trajectory Generation Model for Urban Mobility",,,no,
"Selective Forgetting: Advancing Machine Unlearning Techniques and Evaluation in Language Models",,,no,
"VisRec: A Semi-Supervised Approach to Visibility Data Reconstruction in Radio Astronomy",,,no,
"FMPM-DNet: Hyperspectral Pansharpening Dynamic Network Based on Feature Modulation and Probability Mask",,,no,
"Aerodynamic Coefficients Prediction via Cross-Attention Fusion and Physical-Informed Training",,,no,
"Generalized Implicit Neural Representations for Dynamic Molecular Surface Modeling",,,no,
"Vision Transformers Beat WideResNets on Small Scale Datasets Adversarial Robustness",,,no,
"Relation-Aware Equivariant Graph Networks for Epitope-Unknown Antibody Design and Specificity Optimization",,,no,
"MYOPIA: Protecting Face Privacy from Malicious Personalized Text-to-Image Synthesis via Unlearnable Examples",,,no,
"MultiSFL: Towards Accurate Split Federated Learning via Multi-Model Aggregation and Knowledge Replay",,,no,
"Generalizable Sensor-Based Activity Recognition via Categorical Concept Invariant Learning",,,no,
"Improving Multimodal Social Media Popularity Prediction via Selective Retrieval Knowledge Augmentation",,,no,
"DearLLM: Enhancing Personalized Healthcare via Large Language Models-Deduced Feature Correlations",,,no,
"PriFold: Biological Priors Improve RNA Secondary Structure Predictions",,,no,
"Graph Structure Learning for Spatial-Temporal Imputation: Adapting to Node and Feature Scales",,,no,
"Uncovering LLM-Generated Code: A Zero-Shot Synthetic Code Detector via Code Rewriting",,,no,
"Disentangled Table-Graph Representation for Interpretable Transmission Line Fault Location",,,no,
"RaCMC: Residual-Aware Compensation Network with Multi-Granularity Constraints for Fake News Detection",,,no,
"Reinforced Multi-teacher Knowledge Distillation for Efficient General Image Forgery Detection and Localization",,,no,
"Accurate Nucleic Acid-Binding Residue Identification Based Domain-Adaptive Protein Language Model and Explainable Geometric Deep Learning",,,no,
"SWAMamba: A Sliding Window Attention Mamba Framework for Predicting Translation Elongation Rates",,,no,
"Portcullis: A Scalable and Verifiable Privacy Gateway for Third-Party LLM Inference",,,no,
"Is LLMs Hallucination Usable? LLM-based Negative Reasoning for Fake News Detection",,,no,
"BERT-Based Code Learning for Exception Localization and Type Prediction",,,maybe,
"Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model",,,no,
"mRNA2vec: mRNA Embedding with Language Model in the 5'UTR-CDS for mRNA Design",,,no,
"Phoneme-Level Feature Discrepancies: A Key to Detecting Sophisticated Speech Deepfakes",,,no,
"Multi-View Collaborative Learning Network for Speech Deepfake Detection",,,no,
"Multi-Edge Reinforced Collaborative Data Acquisition for Continuous Video Analytics by Prioritizing Quality over Quantity",,,no,
"Efficient Traffic Prediction Through Spatio-Temporal Distillation",,,no,
"Motif-Oriented Representation Learning with Topology Refinement for Drug-Drug Interaction Prediction",,,no,
